age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
2 years,A669134,Other,Raccoon Mix,Black/Gray,2011-12-15T00:00:00,2013-12-15T18:01:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 months,A664618,Dog,Chihuahua Shorthair Mix,Black/Tan,2013-07-16T00:00:00,2013-10-10T17:31:00,Sierra,partner,Adoption,Spayed Female
5 months,A673538,Dog,Australian Kelpie,Brown/White,2013-09-25T00:00:00,2014-03-03T15:52:00,Lucy,Partner,Transfer,Neutered Male
3 months,A664514,Cat,Manx Mix,Brown Tabby/White,2013-06-19T00:00:00,2013-10-13T18:51:00,Zane,partner,Adoption,Intact Male
1 year,A671065,Cat,Domestic Shorthair Mix,Orange Tabby,2012-07-17T00:00:00,2014-01-21T13:14:00,Ron Weasley,Partner,Transfer,Neutered Male
5 months,A673579,Dog,Labrador Retriever/Pit Bull,Yellow,2013-09-27T00:00:00,2014-03-14T18:37:00,*Charisma,partner,Adoption,Spayed Female
1 month,A678248,Cat,Domestic Medium Hair Mix,Brown Tabby,2014-04-06T00:00:00,2014-05-21T17:37:00,Lucy,Partner,Transfer,Intact Male
1 year,A678109,Dog,Labrador Retriever/Border Collie,Black/White,2013-05-04T00:00:00,2014-05-09T13:11:00,Lucy,Partner,Transfer,Intact Female
16 years,A670616,Cat,Siamese Mix,Lynx Point,1998-01-11T00:00:00,2014-02-12T18:34:00,Laurel,partner,Adoption,Spayed Female
1 year,A669510,Dog,Rottweiler/Labrador Retriever,Black/Tan,2012-12-21T00:00:00,2014-01-01T18:45:00,Kimchi,partner,Adoption,Spayed Female
1 year,A676786,Dog,Chihuahua Shorthair Mix,White/Brown,2013-04-15T00:00:00,2014-04-20T18:34:00,Tuzi,partner,Adoption,Spayed Female
1 year,A671647,Dog,Border Terrier Mix,Gold,2013-01-28T00:00:00,2014-02-04T12:50:00,Lucy,partner,Adoption,Neutered Male
13 years,A352555,Dog,Labrador Retriever Mix,Tan,2001-06-30T00:00:00,2014-08-10T18:57:00,Harley,partner,Return to Owner,Spayed Female
8 years,A669124,Dog,Miniature Poodle Mix,Brown,2005-12-15T00:00:00,2013-12-20T11:34:00,Lucy,Partner,Transfer,Spayed Female
10 months,A669279,Dog,Anatol Shepherd Mix,Tricolor,2013-02-17T00:00:00,2013-12-24T15:33:00,Sagan,partner,Adoption,Neutered Male
10 months,A678311,Dog,Labrador Retriever,Black,2013-09-07T00:00:00,2014-07-27T12:26:00,*Bastian,partner,Adoption,Neutered Male
2 months,A683161,Cat,Domestic Longhair Mix,Blue/White,2014-04-15T00:00:00,2014-07-11T18:54:00,Lucy,partner,Adoption,Neutered Male
5 years,A665982,Dog,Chihuahua Shorthair/Cardigan Welsh Corgi,White/Tan,2008-10-25T00:00:00,2013-10-26T14:43:00,Minnie,partner,Return to Owner,Spayed Female
4 years,A685532,Dog,Beagle Mix,Tricolor,2010-08-09T00:00:00,2014-08-09T12:27:00,Katie,partner,Return to Owner,Spayed Female
2 months,A669828,Dog,Leonberger Mix,Tan/White,2013-10-21T00:00:00,2013-12-28T15:18:00,Lucy,Partner,Transfer,Intact Male
2 months,A680973,Dog,Australian Shepherd/Border Collie,Sable/White,2014-04-10T00:00:00,2014-06-15T18:47:00,Lucy,partner,Adoption,Neutered Male
1 year,A683570,Dog,Boxer Mix,White,2013-07-12T00:00:00,2014-07-16T17:37:00,Layla,partner,Adoption,Spayed Female
1 year,A681310,Dog,Finnish Spitz Mix,Brown/Tan,2013-06-14T00:00:00,2014-08-06T17:43:00,Nestle,partner,Return to Owner,Intact Male
3 months,A664952,Cat,Domestic Shorthair Mix,Black,2013-09-11T00:00:00,2013-12-15T19:10:00,*Alice,Foster,Adoption,Spayed Female
1 year,A685756,Dog,German Shepherd Mix,Black/White,2013-08-12T00:00:00,2014-08-12T19:12:00,Vivian,partner,Return to Owner,Spayed Female
2 years,A666700,Dog,Chihuahua Shorthair Mix,Black/Tricolor,2011-11-06T00:00:00,2013-11-11T17:57:00,Pie De Choco,partner,Adoption,Spayed Female
3 years,A666578,Dog,Anatol Shepherd/Labrador Retriever,Brown,2010-11-04T00:00:00,2013-11-04T14:32:00,Wednesday,Partner,Transfer,Spayed Female
1 month,A678917,Cat,Domestic Shorthair Mix,Torbie,2014-04-14T00:00:00,2014-05-20T09:52:00,*Louisa,partner,Died,Intact Female
5 years,A672410,Dog,Beagle Mix,Tricolor,2009-02-09T00:00:00,2014-02-11T18:16:00,Myles,partner,Return to Owner,Neutered Male
5 years,A585940,Dog,Pit Bull,Black/White,2008-10-01T00:00:00,2013-11-21T15:29:00,Brolli,Aggressive,Euthanasia,Neutered Male
1 year,A679999,Cat,Domestic Medium Hair Mix,Orange Tabby/White,2013-05-28T00:00:00,2014-05-29T19:13:00,Lucy,SCRP,Transfer,Neutered Male
2 weeks,A677713,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-09T00:00:00,2014-04-28T14:49:00,Lucy,Partner,Transfer,Intact Female
3 years,A672466,Dog,English Bulldog Mix,Brown/White,2011-02-10T00:00:00,2014-02-11T19:05:00,Tella,partner,Return to Owner,Intact Female
1 month,A664638,Cat,Domestic Longhair Mix,Black Smoke,2013-08-15T00:00:00,2013-10-09T18:48:00,*Minerva,Partner,Transfer,Intact Female
2 years,A678011,Dog,Pit Bull Mix,Gray/White,2012-05-02T00:00:00,2014-05-09T16:33:00,Rhino,partner,Return to Owner,Neutered Male
4 years,A664943,Dog,Labrador Retriever Mix,Black,2009-12-31T00:00:00,2014-01-01T19:13:00,*Leo,partner,Adoption,Neutered Male
2 years,A666522,Dog,Pit Bull Mix,Blue,2011-11-02T00:00:00,2013-12-30T13:52:00,*Sonia,Behavior,Euthanasia,Spayed Female
5 years,A670297,Dog,Labrador Retriever,Yellow,2009-01-05T00:00:00,2014-01-06T11:15:00,Luke,partner,Return to Owner,Intact Male
7 years,A571229,Dog,Pit Bull Mix,Brown Brindle,2006-04-18T00:00:00,2014-03-27T08:11:00,Chokolate,Partner,Transfer,Neutered Male
4 weeks,A672636,Other,Raccoon,Brown/Black,2014-01-13T00:00:00,2014-02-13T19:31:00,Lucy,partner,Euthanasia,Unknown
15 years,A678563,Dog,Pit Bull Mix,Brown Brindle,1999-05-10T00:00:00,2014-05-10T13:57:00,Bentley,partner,Return to Owner,Spayed Female
1 year,A673585,Dog,Labrador Retriever Mix,Red,2013-03-26T00:00:00,2014-04-20T17:11:00,Bella,partner,Adoption,Spayed Female
1 year,A673464,Dog,Beagle/Chinese Sharpei,Tricolor,2012-11-24T00:00:00,2014-02-28T14:39:00,Wilma,partner,Adoption,Spayed Female
10 years,A328422,Dog,Parson Russell Terrier Mix,White/Black,2003-04-13T00:00:00,2014-03-17T11:55:00,Cru,partner,Return to Owner,Neutered Male
10 months,A667144,Cat,Domestic Shorthair Mix,Calico,2013-01-13T00:00:00,2013-11-29T17:50:00,Delores,partner,Adoption,Intact Female
4 months,A685958,Dog,Beagle Mix,White/Tan,2014-03-31T00:00:00,2014-08-19T17:05:00,Cody,partner,Adoption,Neutered Male
1 year,A679553,Other,Bat,Brown,2013-05-22T00:00:00,2014-05-22T16:40:00,Lucy,Rabies Risk,Euthanasia,Unknown
3 years,A613954,Dog,Miniature Pinscher,Black/Tan,2010-05-26T00:00:00,2013-12-07T12:04:00,Snicker,partner,Adoption,Neutered Male
3 months,A680219,Dog,Pit Bull Mix,Blue/White,2014-03-16T00:00:00,2014-06-18T12:09:00,Scarlett,Foster,Adoption,Spayed Female
1 year,A668847,Dog,Pit Bull/Boxer,Brown/White,2012-06-10T00:00:00,2014-01-27T15:33:00,*Tiger,partner,Adoption,Neutered Male
1 year,A684635,Dog,Chihuahua Shorthair Mix,Tan,2013-07-26T00:00:00,2014-08-06T18:43:00,Bandito,partner,Adoption,Neutered Male
1 year,A641881,Dog,Labrador Retriever Mix,Yellow,2012-06-17T00:00:00,2014-02-11T13:23:00,Sonny Boy,partner,Return to Owner,Neutered Male
8 years,A674331,Dog,Labrador Retriever Mix,Yellow,2006-03-11T00:00:00,2014-05-03T08:41:00,*Nicholas,partner,Adoption,Neutered Male
2 months,A669542,Dog,Cocker Spaniel Mix,Brown,2013-10-07T00:00:00,2013-12-23T19:11:00,Lucy,partner,Adoption,Neutered Male
4 months,A665661,Cat,Domestic Shorthair Mix,White/Black,2013-08-22T00:00:00,2013-12-26T09:31:00,Julia,Foster,Adoption,Spayed Female
1 month,A679781,Cat,Domestic Shorthair Mix,Blue Tabby,2014-04-28T00:00:00,2014-06-20T15:04:00,Scout,partner,Adoption,Intact Male
9 years,A666253,Dog,Labrador Retriever Mix,Black/Gray,2004-10-29T00:00:00,2013-11-10T10:44:00,*Sybil,Suffering,Euthanasia,Spayed Female
12 years,A663644,Dog,Manchester Terrier,Black/Tan,2001-09-27T00:00:00,2013-10-02T15:08:00,Cookie,partner,Return to Owner,Spayed Female
4 months,A667187,Cat,Domestic Medium Hair Mix,Calico,2013-07-14T00:00:00,2013-11-15T14:39:00,Lucy,SCRP,Transfer,Intact Female
2 years,A669003,Dog,Shih Tzu,Black/White,2011-12-12T00:00:00,2013-12-13T11:54:00,Lucy,Partner,Transfer,Neutered Male
2 months,A666265,Dog,Australian Cattle Dog Mix,Red Merle,2013-08-29T00:00:00,2013-11-04T15:49:00,*Murphy,Partner,Transfer,Intact Male
3 days,A681701,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-06-16T00:00:00,2014-06-19T14:39:00,Lucy,Suffering,Euthanasia,Intact Male
5 years,A673085,Dog,Maltese Mix,White,2009-02-19T00:00:00,2014-03-23T14:07:00,*Gabriel,partner,Adoption,Neutered Male
8 months,A663825,Dog,Labrador Retriever Mix,Brown,2013-01-24T00:00:00,2013-10-02T15:25:00,Lucy,Partner,Transfer,Spayed Female
3 months,A671089,Dog,Chihuahua Shorthair Mix,Brown/White,2014-01-17T00:00:00,2014-04-29T08:51:00,*Rex,Foster,Adoption,Neutered Male
1 year,A663893,Dog,German Shepherd Mix,Tan/Black,2012-09-25T00:00:00,2013-10-08T18:22:00,Khaleesi,partner,Adoption,Spayed Female
7 months,A687078,Dog,Pit Bull Mix,Black/White,2013-12-31T00:00:00,2014-08-31T11:22:00,Remington,partner,Return to Owner,Intact Male
2 months,A675235,Dog,Plott Hound/Labrador Retriever,Brown Brindle,2014-01-12T00:00:00,2014-03-30T18:30:00,Princess,partner,Adoption,Spayed Female
1 year,A672217,Dog,Chihuahua Shorthair Mix,Red,2012-08-05T00:00:00,2014-02-10T17:16:00,Lucy,Partner,Transfer,Neutered Male
1 year,A681349,Dog,Border Collie,Black/White,2013-06-15T00:00:00,2014-07-16T19:00:00,Beau,Foster,Adoption,Neutered Male
2 years,A684620,Dog,Dachshund/Jack Russell Terrier,Red/White,2012-07-26T00:00:00,2014-07-30T17:00:00,Lucy,partner,Adoption,Neutered Male
4 months,A685901,Cat,Ragdoll Mix,Tortie Point,2014-04-14T00:00:00,2014-08-16T09:00:00,Lucy,SCRP,Transfer,Intact Female
9 years,A628369,Dog,Lhasa Apso/Miniature Poodle,Cream,2004-05-27T00:00:00,2014-02-21T13:04:00,Lucky,partner,Return to Owner,Neutered Male
9 months,A665648,Other,Fox Mix,White/Gray,2013-01-21T00:00:00,2013-10-27T15:06:00,Lucy,Partner,Transfer,Intact Female
3 weeks,A677564,Cat,Domestic Shorthair Mix,Black,2014-04-04T00:00:00,2014-04-26T13:41:00,Lucy,Rabies Risk,Euthanasia,Intact Male
7 years,A667079,Dog,Chihuahua Shorthair Mix,Chocolate/White,2006-11-12T00:00:00,2013-11-21T13:48:00,*Simon,Partner,Transfer,Neutered Male
2 years,A680793,Dog,Chihuahua Shorthair Mix,Brown,2012-06-08T00:00:00,2014-06-17T16:33:00,Cocco,partner,Adoption,Neutered Male
6 months,A686753,Cat,Domestic Shorthair Mix,Tortie,2014-02-11T00:00:00,2014-09-01T14:24:00,*Truffle,partner,Adoption,Spayed Female
1 month,A681157,Cat,Domestic Shorthair Mix,Black,2014-04-28T00:00:00,2014-06-13T15:53:00,Lucy,Medical,Euthanasia,Intact Male
1 year,A660220,Dog,Yorkshire Terrier/Miniature Poodle,Gray,2012-02-05T00:00:00,2013-12-19T16:38:00,Jade,Foster,Adoption,Spayed Female
1 year,A671184,Cat,Domestic Medium Hair Mix,Black,2012-07-20T00:00:00,2014-01-21T15:12:00,Lucy,SCRP,Transfer,Intact Male
2 months,A680005,Dog,Australian Kelpie Mix,Tan/Black,2014-03-29T00:00:00,2014-06-01T18:16:00,Lucy,partner,Adoption,Neutered Male
5 years,A674642,Dog,Labrador Retriever Mix,Black/White,2009-03-23T00:00:00,2014-03-31T16:25:00,*Kayla,partner,Adoption,Spayed Female
6 days,A679410,Cat,Domestic Shorthair Mix,Black/White,2014-05-14T00:00:00,2014-05-20T17:18:00,Lucy,Partner,Transfer,Intact Male
5 months,A664596,Dog,Great Pyrenees Mix,White,2013-05-06T00:00:00,2013-10-09T17:38:00,Ellie,partner,Adoption,Spayed Female
4 months,A673615,Dog,American Eskimo Mix,Cream,2013-10-27T00:00:00,2014-03-03T18:20:00,Lucy,partner,Adoption,Spayed Female
1 month,A682954,Dog,Jack Russell Terrier Mix,Sable,2014-05-05T00:00:00,2014-07-05T16:49:00,Lucy,Partner,Transfer,Intact Male
6 months,A683880,Dog,Belgian Tervuren Mix,Black/White,2014-01-16T00:00:00,2014-07-23T19:44:00,Princess,Partner,Transfer,Spayed Female
1 year,A664283,Cat,Domestic Shorthair Mix,Black/White,2012-10-01T00:00:00,2013-10-13T17:24:00,Juliet,partner,Adoption,Spayed Female
2 years,A679085,Cat,Siamese Mix,Lynx Point,2012-05-16T00:00:00,2014-05-31T15:47:00,*Elsa,partner,Adoption,Neutered Male
8 years,A683852,Dog,Shih Tzu Mix,Black/White,2006-07-21T00:00:00,2014-07-25T16:18:00,Samson,partner,Return to Owner,Intact Male
8 months,A676036,Dog,German Shepherd/Labrador Retriever,Sable,2013-08-03T00:00:00,2014-04-25T16:20:00,Takis,partner,Adoption,Neutered Male
8 months,A666313,Dog,Leonberger Mix,Brown/White,2013-03-02T00:00:00,2013-11-03T17:26:00,Lucy,partner,Adoption,Neutered Male
5 months,A670479,Dog,Dachshund Mix,Black/Brown,2013-08-13T00:00:00,2014-01-14T12:54:00,*Regina,partner,Adoption,Spayed Female
1 year,A673970,Cat,Domestic Shorthair Mix,Orange/White,2013-03-05T00:00:00,2014-03-07T15:44:00,Lucy,Suffering,Euthanasia,Intact Male
6 years,A676600,Cat,Domestic Medium Hair,Cream Tabby,2008-04-12T00:00:00,2014-04-17T18:14:00,Sassy,partner,Return to Owner,Intact Female
2 years,A628628,Cat,Domestic Shorthair Mix,Calico,2012-03-30T00:00:00,2014-07-06T14:14:00,Nala,partner,Adoption,Spayed Female
4 days,A684311,Dog,Chihuahua Shorthair Mix,Black,2014-07-18T00:00:00,2014-07-22T10:51:00,Lucy,Partner,Transfer,Intact Female
11 months,A679233,Dog,Miniature Poodle/Lhasa Apso,Black/White,2013-06-04T00:00:00,2014-05-22T17:37:00,Chispita,partner,Return to Owner,Spayed Female
1 year,A676541,Cat,Domestic Shorthair Mix,Calico,2013-04-11T00:00:00,2014-05-10T12:44:00,Tabs,partner,Adoption,Spayed Female
3 years,A680647,Dog,Miniature Schnauzer Mix,Black/White,2011-06-05T00:00:00,2014-06-09T17:13:00,Mr. Magoo,partner,Adoption,Neutered Male
5 months,A676292,Dog,Miniature Pinscher/Chihuahua Shorthair,Black/Tan,2013-10-24T00:00:00,2014-04-08T15:29:00,Blacky,Partner,Transfer,Intact Male
2 years,A682876,Dog,Chihuahua Shorthair/Italian Greyhound,Brown/White,2012-07-04T00:00:00,2014-07-15T17:10:00,*Versace,partner,Adoption,Spayed Female
2 years,A684283,Dog,Border Collie Mix,Black/White,2012-07-21T00:00:00,2014-07-31T18:59:00,Rocky,partner,Return to Owner,Neutered Male
2 years,A675129,Dog,Boxer Mix,White/Tricolor,2012-03-23T00:00:00,2014-03-27T17:09:00,Lucy,Partner,Transfer,Spayed Female
1 year,A667578,Dog,Miniature Poodle Mix,White,2012-11-20T00:00:00,2013-11-23T17:33:00,Chikis,partner,Return to Owner,Spayed Female
3 years,A666568,Dog,Pit Bull Mix,Black/White,2010-11-06T00:00:00,2013-11-07T16:52:00,Willie,partner,Return to Owner,Spayed Female
1 month,A678653,Cat,Domestic Medium Hair Mix,Torbie,2014-03-27T00:00:00,2014-05-26T17:09:00,Kaleysee,partner,Adoption,Spayed Female
4 years,A686756,Other,American Sable,Sable,2010-08-26T00:00:00,2014-08-31T12:01:00,Mr Bunny,Partner,Transfer,Intact Male
1 year,A667400,Dog,Chihuahua Shorthair Mix,White/Black,2012-11-17T00:00:00,2013-12-07T12:51:00,Norbert,partner,Adoption,Neutered Male
3 years,A680183,Dog,Chihuahua Longhair Mix,Black/White,2011-06-01T00:00:00,2014-06-28T17:58:00,Coyote,partner,Adoption,Neutered Male
1 year,A680670,Dog,Black/Tan Hound Mix,Black/Tan,2013-06-05T00:00:00,2014-06-08T12:53:00,Lucy,partner,Adoption,Neutered Male
3 years,A678951,Cat,Domestic Shorthair Mix,Brown Tabby,2011-05-14T00:00:00,2014-05-26T12:55:00,Tiger,partner,Adoption,Neutered Male
2 months,A668012,Cat,Domestic Shorthair Mix,Brown Tabby,2013-10-19T00:00:00,2013-12-23T15:27:00,*Baxter,Foster,Adoption,Neutered Male
8 months,A686020,Dog,German Shepherd Mix,Black/Brown,2013-11-16T00:00:00,2014-08-16T12:01:00,Sadie,partner,Return to Owner,Intact Female
4 years,A590767,Dog,Chihuahua Shorthair,Tan/White,2009-06-24T00:00:00,2014-04-02T16:48:00,Hercules,partner,Return to Owner,Neutered Male
3 weeks,A678837,Cat,Domestic Shorthair Mix,Torbie/White,2014-04-21T00:00:00,2014-05-13T13:22:00,Lucy,Partner,Transfer,Intact Female
2 years,A669284,Dog,Pit Bull Mix,Blue/White,2011-12-17T00:00:00,2013-12-19T13:37:00,Dream,partner,Return to Owner,Intact Female
5 years,A673609,Dog,Labrador Retriever Mix,Black/White,2009-02-27T00:00:00,2014-03-12T15:23:00,*Andy,Partner,Transfer,Intact Male
2 years,A684268,Dog,Great Dane/Mastiff,Black/White,2011-12-31T00:00:00,2014-07-30T12:42:00,Groot,partner,Return to Owner,Intact Male
4 years,A677443,Cat,Domestic Longhair Mix,Blue/White,2010-04-25T00:00:00,2014-05-10T16:10:00,Lucy,partner,Adoption,Neutered Male
4 years,A684041,Dog,Labrador Retriever Mix,Black,2010-07-18T00:00:00,2014-08-26T19:20:00,*Bree,partner,Adoption,Spayed Female
2 years,A668365,Dog,Rottweiler/Labrador Retriever,Black/Brown,2011-12-02T00:00:00,2014-01-14T18:40:00,*Mason,partner,Adoption,Neutered Male
6 years,A579684,Dog,Labrador Retriever/Border Collie,Black,2008-07-17T00:00:00,2014-08-02T16:56:00,Lilly,partner,Return to Owner,Spayed Female
3 months,A680977,Dog,Jack Russell Terrier Mix,White/Tan,2014-02-10T00:00:00,2014-06-10T19:01:00,Lucy,Suffering,Euthanasia,Intact Female
4 years,A587990,Dog,Dachshund Mix,Black/White,2009-05-09T00:00:00,2013-10-20T13:19:00,Cevrus,partner,Return to Owner,Neutered Male
3 years,A682192,Dog,German Shepherd Mix,Black/White,2011-06-25T00:00:00,2014-07-01T15:34:00,Lucy,Partner,Transfer,Spayed Female
1 year,A627272,Cat,Domestic Shorthair Mix,Orange Tabby/White,2012-04-15T00:00:00,2014-03-01T18:04:00,Odessa,partner,Adoption,Spayed Female
8 months,A663827,Dog,Labrador Retriever Mix,Brown,2013-01-29T00:00:00,2013-10-01T17:02:00,Lucy,partner,Adoption,Neutered Male
6 years,A665813,Dog,Miniature Poodle Mix,Apricot,2007-10-23T00:00:00,2013-11-07T17:39:00,*Carl,partner,Adoption,Neutered Male
13 years,A667327,Dog,Maltese Mix,White,2000-11-16T00:00:00,2013-11-16T13:31:00,Lucy,partner,Return to Owner,Spayed Female
2 years,A672073,Dog,Dachshund Wirehair Mix,Black/Silver,2012-02-03T00:00:00,2014-02-13T16:48:00,*Duke,Partner,Transfer,Neutered Male
2 months,A679579,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-04-16T00:00:00,2014-07-12T17:09:00,*Suzie,Foster,Adoption,Spayed Female
4 months,A674688,Cat,Domestic Shorthair Mix,Black,2013-11-16T00:00:00,2014-03-25T19:23:00,Poppy,partner,Adoption,Intact Female
1 year,A675669,Dog,Queensland Heeler Mix,Blue Merle/Tan,2013-03-31T00:00:00,2014-04-06T12:37:00,Lucy,partner,Adoption,Spayed Female
10 years,A665668,Cat,Domestic Shorthair Mix,White/Black,2003-10-21T00:00:00,2014-03-19T08:37:00,Dylan,Foster,Adoption,Neutered Male
3 years,A684576,Dog,Chinese Crested Mix,White,2011-07-26T00:00:00,2014-07-28T11:33:00,Pearl,partner,Return to Owner,Spayed Female
4 months,A685553,Dog,Pointer Mix,Black/White,2014-04-09T00:00:00,2014-08-10T17:14:00,Bertha,partner,Return to Owner,Spayed Female
3 years,A681870,Dog,Staffordshire Mix,Buff/White,2011-06-21T00:00:00,2014-06-22T14:18:00,Shug,partner,Return to Owner,Intact Female
3 months,A667007,Cat,Domestic Shorthair Mix,Black,2013-09-11T00:00:00,2013-12-18T16:16:00,*Azure,Partner,Transfer,Spayed Female
2 months,A669181,Dog,Labrador Retriever Mix,Black/White,2013-10-16T00:00:00,2013-12-18T18:21:00,Lucy,partner,Adoption,Neutered Male
9 months,A664666,Dog,Australian Cattle Dog Mix,Red Merle,2013-02-07T00:00:00,2013-11-11T16:51:00,Red,partner,Return to Owner,Spayed Female
5 months,A675115,Cat,Domestic Shorthair Mix,Torbie,2013-09-23T00:00:00,2014-03-24T17:25:00,Lucy,partner,Adoption,Spayed Female
1 year,A677948,Other,Raccoon Mix,Gray/Black,2013-05-01T00:00:00,2014-05-01T16:40:00,Lucy,Rabies Risk,Euthanasia,Unknown
10 months,A652261,Dog,Siberian Husky,Cream/White,2013-01-22T00:00:00,2013-11-24T15:15:00,Puffy,partner,Return to Owner,Spayed Female
2 months,A664442,Cat,Domestic Shorthair Mix,Black,2013-08-12T00:00:00,2013-10-20T16:58:00,*Candy Corn,partner,Adoption,Neutered Male
5 weeks,A666677,Cat,Domestic Shorthair Mix,Orange Tabby/White,2013-10-05T00:00:00,2013-11-09T08:53:00,*Max,In Kennel,Died,Intact Male
2 months,A674737,Cat,Domestic Shorthair Mix,Black,2014-03-15T00:00:00,2014-05-27T08:21:00,*Byron,Foster,Adoption,Intact Male
9 months,A674564,Cat,Domestic Shorthair Mix,Torbie,2013-06-15T00:00:00,2014-03-17T11:31:00,Sirus,Partner,Transfer,Spayed Female
1 year,A670692,Dog,Chihuahua Shorthair/Australian Cattle Dog,White/Brown,2012-07-12T00:00:00,2014-01-21T12:45:00,*Paully,Partner,Transfer,Neutered Male
1 year,A672468,Dog,Labrador Retriever/Flat Coat Retriever,Black/Brown,2013-02-10T00:00:00,2014-06-17T18:57:00,Reed,partner,Adoption,Neutered Male
1 week,A676440,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-03T00:00:00,2014-04-10T11:39:00,Lucy,Partner,Transfer,Intact Female
2 months,A662822,Cat,Domestic Shorthair Mix,Tortie,2013-08-16T00:00:00,2013-11-06T08:31:00,*Kera,Partner,Transfer,Spayed Female
1 year,A668535,Dog,Miniature Pinscher Mix,Black/Tan,2012-12-04T00:00:00,2013-12-08T18:29:00,Beau,partner,Adoption,Neutered Male
4 weeks,A677216,Cat,Domestic Shorthair Mix,Black,2014-03-21T00:00:00,2014-04-21T18:03:00,Lucy,Partner,Transfer,Intact Male
6 months,A682646,Other,Bat Mix,Brown,2013-12-30T00:00:00,2014-07-01T09:42:00,Lucy,partner,Disposal,Unknown
2 months,A672808,Dog,Border Collie Mix,Black/White,2013-12-17T00:00:00,2014-02-21T17:26:00,Barack,partner,Adoption,Neutered Male
1 week,A687041,Cat,Domestic Shorthair Mix,Torbie,2014-08-23T00:00:00,2014-08-30T14:38:00,Lucy,Partner,Transfer,Intact Male
2 years,A683534,Dog,Labrador Retriever/Catahoula,Black Brindle,2012-07-11T00:00:00,2014-07-19T17:50:00,Kevin,partner,Adoption,Neutered Male
3 years,A673115,Dog,Yorkshire Terrier,Black/Red,2011-02-19T00:00:00,2014-06-05T16:34:00,Minnie,Partner,Transfer,Spayed Female
10 months,A667884,Dog,Miniature Schnauzer,Black/White,2013-01-24T00:00:00,2013-11-28T12:01:00,Lucy,Partner,Transfer,Neutered Male
1 year,A668549,Cat,Siamese Mix,Flame Point,2012-12-04T00:00:00,2013-12-09T07:19:00,*Dasher,Partner,Transfer,Neutered Male
8 years,A665481,Dog,Chihuahua Shorthair Mix,Tan,2005-10-18T00:00:00,2013-10-29T16:06:00,Lucy,Partner,Transfer,Neutered Male
1 year,A635698,Cat,Domestic Medium Hair Mix,Black,2012-06-26T00:00:00,2013-10-14T16:03:00,*Taco,partner,Adoption,Neutered Male
3 months,A664070,Cat,Domestic Shorthair Mix,White/Blue,2013-07-06T00:00:00,2013-10-09T13:15:00,Lucy,Partner,Transfer,Neutered Male
